,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
39,englewood,,2016-03-10 15:11:59,1,0,I wish @realDonaldTrump would dare take a trip to Englewood while in Chicago tomorrow 🙂
40,englewood,,2016-03-10 15:11:13,0,0,"Retweeted CivicLab Chicago (@CivicLabChicago):

Here's what Asiaha Butler of Englewood's R.A.G.E. said about ""TIF... https://t.co/JW7U3CE0aE"
41,englewood,,2016-03-10 15:10:06,0,0,"Retweeted CivicLab Chicago (@CivicLabChicago):

TIF reform fires up voters in Englewood! https://t.co/7MIM81Xu4S https://t.co/elWPSJOLtE"
42,englewood,,2016-03-10 15:09:51,0,1,RT @CivicLabChicago: TIF reform fires up voters in Englewood! http://t.co/hZDVyKROZ8
43,englewood,,2016-03-10 08:48:38,0,0,2 men shot in car in West Englewood.. Related Articles: https://t.co/uIiFbPrROi
44,englewood,,2016-03-10 08:37:41,0,60,"RT @DNAinfoCHI: .@SpikeLee calls @chancetherapper a ""fraud,"" rips local critics of #Chiraq https://t.co/z3O29Z6yOc https://t.co/ywi1GZSGqL"
45,englewood,,2016-03-10 04:52:17,0,1,RT @its_lil_g: South side englewood  Chicago Illinois 💯 https://t.co/LO1g7rzoZ4
46,englewood,,2016-03-10 04:51:33,2,1,South side englewood  Chicago Illinois 💯 https://t.co/LO1g7rzoZ4
47,englewood,,2016-03-10 02:30:13,0,5,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…
48,englewood,,2016-03-10 01:14:52,0,5,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…
49,englewood,,2016-03-10 00:18:28,0,0,For Updates &amp; more... Visit LouDGangUSA https://t.co/hnxEHWg41j #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT
50,englewood,,2016-03-10 00:18:08,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
51,englewood,,2016-03-10 00:17:44,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
52,englewood,,2016-03-09 23:50:35,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
53,englewood,,2016-03-09 23:38:15,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
54,englewood,,2016-03-09 23:29:26,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
55,englewood,,2016-03-09 23:25:42,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
56,englewood,,2016-03-09 23:24:50,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
57,englewood,,2016-03-09 23:23:41,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
58,englewood,,2016-03-09 23:21:31,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
59,englewood,,2016-03-09 23:18:48,0,10,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…
60,englewood,,2016-03-09 23:17:24,46,10,Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is during the IL primary
61,englewood,,2016-03-09 23:08:16,0,239,RT @thickred3x: Part 1 of some Chicago Southside Englewood shit @kingLongLeg Loft! My camara man the shit... https://t.co/NfVtFqcdZL
62,englewood,,2016-03-09 22:19:01,0,0,South side Chicago raised Englewood 59th Carpenter 💯🅿️😈 y'all know Qua
63,englewood,,2016-03-09 22:02:29,0,2,"Police: Cab drivers targeted in West Englewood armed robberies
https://t.co/khLDUct99V"
64,englewood,,2016-03-09 21:30:55,0,1,RT @DJT_RELL: Growin up in Englewood/Chicago had its ups &amp; downs...But if I could it All over again-I SWEAR I would
65,englewood,,2016-03-09 21:25:40,0,1,Growin up in Englewood/Chicago had its ups &amp; downs...But if I could it All over again-I SWEAR I would
66,englewood,,2016-03-09 21:06:00,2,5,insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MVPSVwlIST
67,englewood,,2016-03-09 20:16:34,0,0,"Man wounded in Englewood shooting, crash https://t.co/YJc1eufnHd #Chiraq #chiraqradio #chiraq #killinois #chiraqmagazine"
68,englewood,,2016-03-09 20:06:25,0,0,chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6RcIBO8JHz #chicago
69,englewood,,2016-03-09 20:04:21,0,0,chicagonewsnow: Man shot in Englewood neighborhood https://t.co/j7yOLBN9uF #chicago
70,englewood,,2016-03-09 19:45:32,0,1,"RT @CSTbreaking: Man wounded in Englewood shooting, crash https://t.co/ajvh22Jd3w"
71,englewood,,2016-03-09 18:56:14,0,2,RT @chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago
72,englewood,,2016-03-09 18:39:51,0,0,“@chicagonewsnow: Man shot in Englewood neighborhood https://t.co/TXb1Sh7xPa #chicago” damn
73,englewood,,2016-03-09 18:39:32,0,2,RT @chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago
74,englewood,,2016-03-09 18:38:42,0,2,Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago
75,englewood,,2016-03-09 18:14:00,0,0,Man shot in Englewood neighborhood https://t.co/nBE5vWLSKn
76,englewood,,2016-03-09 18:03:16,0,0,"Man wounded in Englewood shooting, crash https://t.co/Q66H76Os1W #Chiraq"
77,englewood,,2016-03-09 17:45:08,1,1,"Man wounded in Englewood shooting, crash https://t.co/ajvh22Jd3w"
78,englewood,,2016-03-09 17:42:23,0,0,Man shot in Englewood neighborhood https://t.co/10YjU8GnW4 #chicago
79,englewood,,2016-03-09 17:35:32,0,1,"RT @drocthekid: I like Chicago women, just not the ones from Englewood or the 100s"
80,englewood,,2016-03-09 17:33:21,0,1,"I like Chicago women, just not the ones from Englewood or the 100s"
81,englewood,,2016-03-09 17:22:07,0,0,"Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood Wednesday morning,… https://t.co/9SA719urjo"
82,englewood,,2016-03-09 17:14:05,0,0,"Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood Wednesday morning,… https://t.co/puVI0alaFH"
83,englewood,,2016-03-09 16:54:06,0,0,Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood… https://t.co/wQkBiwNZLK #Chicago #News
84,englewood,,2016-03-09 16:53:13,0,2,"RT @haniainabox: Live tweeting from the @iGrowChi account about the work they do in the Englewood neighborhood of Chicago, check it out!"
85,englewood,,2016-03-09 16:53:01,2,2,"Live tweeting from the @iGrowChi account about the work they do in the Englewood neighborhood of Chicago, check it out!"
86,englewood,,2016-03-09 16:49:52,0,2,RT @ChicagoBreaking: Man shot in Englewood neighborhood https://t.co/mdoXbCaloi
87,englewood,,2016-03-09 16:47:22,0,2,RT @ChicagoBreaking: Man shot in Englewood neighborhood https://t.co/mdoXbCaloi
88,englewood,,2016-03-09 16:45:02,0,2,Man shot in Englewood neighborhood https://t.co/mdoXbCaloi
89,englewood,,2016-03-09 16:42:26,0,1,RT @WoImaging: Saw Black Coffee. Definite must see. Inspiration. http://t.co/Q2oi5HqSTO
90,englewood,,2016-03-09 16:42:24,0,1,RT @WoImaging: Englewood Filmmaker Mark Harris' 'Black Coffee' Aims to Inspire  via @DNAinfoCHI http://t.co/WJSG5BBnHi
91,englewood,,2016-03-09 15:46:03,0,0,Step IT Up America Program to Train and Employ Minority Women in Chicago via @DNAinfoCHI https://t.co/ZUpe7nhCg1
92,englewood,,2016-03-09 13:29:37,0,0,"@TommyThornton speaking of which, you'll likely appreciate this article. It's from Jan 16 but the story is relevant. https://t.co/ABTQwPOrdj"
93,englewood,,2016-03-09 09:09:05,0,2,RT @shermanedwards: Bernie Sanders got arrested in Englewood while wearing a hoodie!?!? #thuglife https://t.co/mxsiOdrvuy
94,englewood,,2016-03-09 08:48:36,0,0,2 men shot in car in West Englewood.. Related Articles: https://t.co/uIiFbPrROi
95,englewood,,2016-03-09 04:21:42,0,0,Many don't make it out of where I'm from: Englewood Chicago ❗
96,englewood,,2016-03-09 02:58:13,0,0,2 men shot in car in West Englewood - Chicago Sun-Times How sad is this very sad I'm SgtFrozen  https://t.co/8SUodQVll2
97,englewood,,2016-03-09 01:55:21,1,0,Chicago 1963: Bernie arrested for protesting racial segregation in Englewood public schools(source: Chicago Tribune) https://t.co/XcUQbarRpT
98,englewood,,2016-03-09 01:02:50,0,6,"RT @PDX_For_Bernie: #BernieSanders arrest. I grew up on the Southside of Chicago, Englewood is no punk. This man cares. #SCPrimary https://…"
99,englewood,,2016-03-09 00:52:18,0,2,RT @CSTbreaking: 2 men shot in car in West Englewood https://t.co/JPapd1Tzvq
100,englewood,,2016-03-09 00:23:30,0,0,For Updates &amp; more... Visit LouDGangUSA https://t.co/h7xgmhnYQW #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT
101,englewood,,2016-03-08 23:44:57,0,2,RT @CSTbreaking: 2 men shot in car in West Englewood https://t.co/JPapd1Tzvq
102,englewood,,2016-03-08 23:43:28,0,2,2 men shot in car in West Englewood https://t.co/JPapd1Tzvq
103,englewood,,2016-03-08 23:09:30,0,3,"RT @LoudGangUSA: For Updates &amp; more...
Visit @LouDGangUSA https://t.co/zeI9Xl9Cyg
#LouDGangUSA #Chicago #music #Englewood #rap #hiphop #gre…"
104,englewood,,2016-03-08 21:59:36,0,0,South Side Mural Called 'Mother Englewood' by Residents via @DNAinfoCHI https://t.co/3tccy8sv9e
