,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
0,englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-12 06:44:37,0,0,"😎 @ Chicago (Englewood neighborhood), Illinois https://t.co/LJ5J0yp5zd"
1,englewood,"{'coordinates': [-87.64513733, 41.79094389], 'type': 'Point'}",2016-03-11 21:44:27,0,0,🃏🃏🃏 #watchthekid @ Streets Of Englewood https://t.co/7FWXTsd9pe
2,englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-11 16:41:38,1,0,"S/o my nigga Harry..... #Life 🙌🙌🙌 @ Chicago (Englewood neighborhood), Illinois https://t.co/TpthadGi6Y"
3,englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-10 23:07:12,0,0,"This #job might be a great fit for you: Biomedical Technician I - Ross Dialysis - Englewood - https://t.co/gavbjnxZOI #Chicago, IL #Hiring"
4,englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-10 16:17:34,0,0,"See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.co/9ZvmuJu76N"
5,englewood,"{'coordinates': [-87.6638541, 41.9043757], 'type': 'Point'}",2016-03-08 21:48:02,0,0,"@writingtoatee I saw that but Chicago also has englewood and pilsen, im sure he would be welcome with open arms 😊"
6,englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-08 01:03:19,0,0,In the kitchen cooking wit the wrist motion @ Englewood Southside https://t.co/dQD5zYjmRJ
7,englewood,"{'coordinates': [-87.64513733, 41.79094389], 'type': 'Point'}",2016-03-07 20:38:03,0,0,🐭🐭🐭🐭🐭🐭🐭🐭🐭🐭🐭 @ Streets Of Englewood https://t.co/Kc7ZWEOvsF
8,englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-07 20:05:38,0,0,"Fresenius Medical Care #Job: Hemodialysis Registered Nurse - Englewood - Chicago, IL (#Chicago, IL) https://t.co/mFXWHmsMto #dialysis #Jobs"
9,englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-06 21:24:18,0,0,"Om baby doe 
Ain't got Shit for nobody who ain't nun for me @ Englewood Southside https://t.co/KKuKD7Odho"
10,englewood,"{'coordinates': [-87.6927338, 41.7794113], 'type': 'Point'}",2016-03-06 16:13:40,0,0,#GreatinEnglewood in Action...How do I spend my Sunday morning?… https://t.co/CXuMk9SPU2
11,englewood,"{'coordinates': [-87.7415771, 41.7398186], 'type': 'Point'}",2016-03-05 23:21:36,0,0,Isn't she a beauty....#GreatInEnglewood #2016WomanoftheYear @… https://t.co/tTqYIhaiuH
12,englewood,"{'coordinates': [-87.7415771, 41.7398186], 'type': 'Point'}",2016-03-05 23:10:18,0,0,Words cannot describe the gratitude I felt being awarded… https://t.co/QGX9YCw3Fa
13,englewood,"{'coordinates': [-87.7415771, 41.7398186], 'type': 'Point'}",2016-03-05 22:56:40,1,2,#2016WomanoftheYear honored by #zetaphibeta! #humbled #grateful @… https://t.co/OvOVeYYYLP
14,englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-05 18:30:20,0,0,💯✋ @ Englewood Southside https://t.co/KJoDkmMrvs
15,englewood,"{'coordinates': [-87.7415771, 41.7398186], 'type': 'Point'}",2016-03-05 18:23:48,0,0,2nd stop - 3rd Annual Finer Womanhood Luncheon - Excited!… https://t.co/547LQtyu9J
16,englewood,"{'coordinates': [-87.6490292, 41.7638676], 'type': 'Point'}",2016-03-03 21:46:44,0,0,Thank you #GOD for allowing me to speak to our youth @ EXCEL ACADEMY OF ENGLEWOOD. A great group… https://t.co/M4m5xKHTpP
17,englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-03 06:44:21,0,0,Just posted a photo @ Englewood Southside https://t.co/NsrhzQrKgx
18,englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-03 06:30:44,0,0,Just posted a photo @ Englewood Southside https://t.co/VXWn2cxABA
