Community Area Mentioned,Sum Negative Tweet Sentiment,Sum Positive Tweet Sentiment,Total Number of Negative Tweets,Total Number of Positive Tweets,Total Number of Positive and Negative Tweets,Average Negative Sentiment,Average Positive Sentiment,Unweighted Reputation Score,Weighted Reputation Score
norwood park,-7.754600000000003,4.141700000000001,21,7,28,-0.3692666666666668,0.5916714285714287,0.11120238095238097,-0.20911031746031758
o'hare,-0.4466,2.5444,1,5,6,-0.4466,0.50888,0.03114,-0.28735333333333335
oakland,-18.7194,6.159400000000001,32,22,54,-0.58498125,0.2799727272727273,-0.15250426136363635,-0.4408222537878788
portage park,-10.4311,15.3506,19,25,44,-0.5490052631578948,0.614024,0.03250936842105262,-0.35516705263157894
pullman,-6.3766,9.241800000000003,14,17,31,-0.4554714285714286,0.5436352941176472,0.04408193277310932,-0.2889536414565826
riverdale,-134.1097000000006,8.7716,210,20,230,-0.6386176190476219,0.43857999999999997,-0.10001880952381098,-0.459084682539685
rogers park,-8.3172,92.845,25,168,193,-0.332688,0.5526488095238096,0.1099804047619048,-0.18513186507936508
roseland,-162.5234000000004,12.996199999999998,315,30,345,-0.5159473015873028,0.43320666666666663,-0.04137031746031811,-0.3577549735449746
south chicago,-144.9457,132.60810000000004,283,266,549,-0.5121756183745583,0.49852669172932346,-0.006824463322617408,-0.34372523335724464
south deering,0.0,0.5848,0,1,1,0.0,0.5848,0.0,0.0
south shore,-26.331799999999994,38.33090000000002,68,86,154,-0.38723235294117636,0.445708139534884,0.029237893296853806,-0.2484089375284996
uptown,-57.6967,95.48099999999998,147,236,383,-0.39249455782312925,0.40458050847457616,0.006042975325723454,-0.2596487134401783
washington park,0.0,0.5994,0,1,1,0.0,0.5994,0.0,0.0
west englewood,-18.0989,1.0187,32,2,34,-0.565590625,0.50935,-0.028120312500000022,-0.3864338541666667
west garfield park,-5.0693,4.648700000000001,7,8,15,-0.7241857142857143,0.5810875000000001,-0.07154910714285712,-0.5066401785714286
west lawn,-1.682,1.2249999999999999,6,4,10,-0.2803333333333333,0.30624999999999997,0.012958333333333322,-0.18256944444444445
west pullman,-4.0916,3.1795,10,6,16,-0.40915999999999997,0.5299166666666667,0.06037833333333337,-0.2526472222222222
west ridge,-4.830499999999999,14.478000000000003,7,24,31,-0.6900714285714284,0.6032500000000002,-0.043410714285714136,-0.47451785714285705
west town,-2.3882,25.680400000000002,4,50,54,-0.59705,0.5136080000000001,-0.04172099999999995,-0.4119403333333333
woodlawn,-3.2650999999999994,26.17620000000001,10,47,57,-0.32650999999999997,0.556940425531915,0.11521521276595753,-0.17926826241134744
