,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Total Negative Tweet Sentiment,Total Number of Negative Tweets,Total Number of Positive Tweets,Total Number of Positive and Negative Tweets,Total Positive Tweet Sentiment,Average Negative Sentiment,Average Positive Sentiment,Unweighted Reputation Score,Weighted Reputation Score
70,67.0,west englewood,4.8,34.4,35.9,26.3,40.7,11317,89.0,-18.0989,32.0,2.0,34.0,1.0187,-0.565590625,0.50935,-0.028120312500000025,-0.3864338541666667
23,68.0,englewood,3.8,46.6,28.0,28.5,42.5,11888,94.0,-178.2183999999999,362.0,238.0,600.0,119.30519999999979,-0.4923160220994472,0.5012823529411757,0.004483165420864299,-0.3267162929260101
29,69.0,greater grand crossing,3.6,29.6,23.0,16.5,41.0,17285,66.0,0.0,0.0,12.0,12.0,8.159999999999998,0.0,0.6799999999999998,0.0,0.0
3,70.0,ashburn,4.0,10.4,11.7,17.7,36.9,23482,37.0,-10.630300000000002,28.0,15.0,43.0,5.5188000000000015,-0.3796535714285715,0.36791999999999997,-0.005866785714285727,-0.2550579761904762
4,71.0,auburn gresham,4.0,27.6,28.3,18.5,41.9,15528,74.0,-5.9133,17.0,2.0,19.0,1.1233,-0.34784117647058826,0.56165,0.10690441176470586,-0.1962593137254902
9,72.0,beverly,0.9,5.1,8.0,3.7,40.5,39523,12.0,-35.3824,115.0,344.0,459.0,174.62879999999973,-0.30767304347826085,0.5076418604651156,0.09998440849342738,-0.1717872261543648
67,73.0,washington height,1.1,16.9,20.8,13.7,42.6,19713,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,74.0,mount greenwood,1.0,3.4,8.7,4.3,36.8,34381,16.0,-15.667200000000005,25.0,14.0,39.0,6.575800000000001,-0.6266880000000001,0.4697000000000001,-0.07849400000000004,-0.4439566666666668
45,75.0,morgan park,0.8,13.2,15.0,10.8,40.3,27149,30.0,-36.59629999999995,103.0,200.0,303.0,108.6902999999998,-0.35530388349514513,0.5434514999999989,0.09407380825242688,-0.2055113195792878
55,76.0,o'hare,3.6,15.4,7.1,10.9,30.3,25828,24.0,-0.4466,1.0,5.0,6.0,2.5444,-0.4466,0.50888,0.031139999999999998,-0.2873533333333333
21,77.0,edgewater,4.1,18.2,9.2,9.7,23.8,33385,19.0,-15.711699999999995,42.0,74.0,116.0,37.0392,-0.3740880952380951,0.5005297297297298,0.06322081724581732,-0.22831845774345766
