,Unnamed: 0,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude,sentiment,Compound
192,192,englewood,2016-03-06 03:53:16,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/qSrzyFOpe6,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
193,193,englewood,2016-03-06 03:11:50,0.0,0.0,Englewood is east side of Chicago? Who knew...,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
194,194,,,,,,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
195,195,englewood,2016-03-06 02:46:28,0.0,1.0,RT @Kennysommer: #Nabisco think that's how you spell the company that is closing it's plant in a jobs needed Part of #Chicago Englewood. Ne…,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
196,196,englewood,2016-03-06 02:42:42,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/52HQrxwcZ3,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
197,197,englewood,2016-03-06 02:27:58,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/gpFHDpDvVx,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
198,198,englewood,2016-03-06 00:51:03,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/qxJ8mXNDAK,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
199,199,englewood,2016-03-06 00:22:22,0.0,0.0,For Updates &amp; more... Visit LouDGangUSA https://t.co/IsjQ5FUpNn #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
200,200,englewood,2016-03-05 23:11:38,0.0,0.0,"Famous Dex Talks Englewood Chicago, The Sauce Factory, Houston Music Scene &amp; More https://t.co/z0TeCcQm2h",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
201,201,englewood,2016-03-05 22:43:21,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/t9UEPpGafs,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
202,202,englewood,2016-03-05 21:38:30,2.0,1.0,#Nabisco think that's how you spell the company that is closing it's plant in a jobs needed Part of #Chicago Englewood. Need 2 boycott them.,0.0,0.0,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.3182}",-0.3182
203,203,englewood,2016-03-05 20:01:54,1.0,0.0,"Please be safe everyone:
https://t.co/leF8gvWW8q",0.0,0.0,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.6369}",0.6369
204,204,englewood,2016-03-05 19:55:22,0.0,0.0,SPIKE LEE NEEDS TO BE DONE TALKING ABOUT WOMEN  https://t.co/7sSdHSnqKS,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
